785.52,1077.27,1140.47,1020.97,1130.18,987.62,1104.06,927.15,1140.32,910.87,1172.48,900.93,972.08,878.42,980.74,1052.5,1173.18,1113.33,938.15,1036.19,960.83,1172.69,906.11,1145.76,1024.6,1027.16,956.36,930.08,914.88,985.62,1015.93,920.11,962.85,918.16,982.13,1085.13,1125.74,913.1,937.21,1139.75,916.85,974.1,1079.98,951.72,825.41,950.68,916.65,1131.78,926.94,1007.46,1174.94,919.78,974.12,817.74,1031.66,881.93,1071.6,999.1,1131.33,911.2,1025.91,985.93,842.61,1143.18,1129.42,870.61,1044.72,953.58,1038.22,1037.12,1143.81,932.53,955.63,1145.98,865.27,1110.27,1075.49,1124.81,861.7,945.41,1156.25,939.6,948.77,1074.42,1046.16,965.88,1014.05
785.55,1077.25,1140.46,1020.99,1130.22,987.54,1104.02,927.12,1140.3,910.89,1172.48,901.01,972.02,878.4,980.74,1052.54,1173.18,1113.29,938.13,1036.15,960.82,1172.66,906.08,1145.75,1024.59,1027.15,956.32,930.01,914.91,985.62,1015.87,920.1,962.78,918.18,982.1,1085.09,1125.76,913.09,937.21,1139.8,916.83,974.16,1079.99,951.75,825.42,950.75,916.64,1131.79,927.11,1007.43,1174.96,919.76,974.18,817.74,1031.67,881.94,1071.61,999.05,1131.32,911.19,1025.95,985.86,842.68,1143.19,1129.44,870.6,1044.75,953.52,1038.19,1037.1,1143.79,932.62,955.63,1145.97,865.3,1110.26,1075.57,1124.8,861.69,945.38,1156.23,939.59,948.74,1074.46,1046.12,965.85,1014.04
785.59,1077.2,1140.47,1020.95,1130.29,987.53,1104.02,927.03,1140.31,911.12,1172.45,901.04,972.01,878.43,980.72,1052.53,1173.19,1113.33,938.11,1036.15,960.85,1172.65,906.11,1145.76,1024.63,1027.13,956.33,929.98,914.93,985.61,1015.82,920.08,962.72,918.12,982.1,1085.09,1125.79,913.07,937.21,1139.74,916.84,974.18,1079.99,951.74,825.4,950.8,916.64,1131.8,927.22,1007.43,1174.98,919.76,974.17,817.69,1031.7,881.94,1071.62,999.04,1131.3,911.19,1025.9,985.8,842.73,1143.2,1129.43,870.63,1044.74,953.52,1038.15,1037.14,1143.77,932.69,955.62,1145.95,865.28,1110.25,1075.62,1124.83,861.71,945.38,1156.26,939.6,948.74,1074.47,1046.1,965.82,1014.01
785.63,1077.15,1140.45,1020.93,1130.28,987.62,1104.03,927.04,1140.31,911.07,1172.45,901.06,972.14,878.42,980.73,1052.52,1173.18,1113.31,938.14,1036.16,960.87,1172.68,906.12,1145.73,1024.6,1027.16,956.34,930.03,914.93,985.62,1015.86,920.09,962.76,918.12,982.09,1085.15,1125.81,913.08,937.2,1139.76,916.89,974.18,1079.99,951.77,825.36,950.82,916.64,1131.83,927.15,1007.37,1174.97,919.77,974.25,817.57,1031.67,881.94,1071.6,998.99,1131.3,911.18,1025.75,985.75,842.79,1143.2,1129.41,870.64,1044.72,953.53,1038.13,1037.14,1143.77,932.56,955.63,1145.95,865.28,1110.24,1075.53,1124.86,861.72,945.46,1156.26,939.53,948.76,1074.47,1046.07,965.82,1014.05
785.7,1077.13,1140.47,1020.86,1130.32,987.63,1104.04,927.02,1140.36,911.12,1172.47,901.07,972.17,878.4,980.72,1052.51,1173.17,1113.32,938.12,1036.19,960.81,1172.67,906.14,1145.76,1024.64,1027.11,956.32,930.06,914.93,985.62,1015.93,920.06,962.82,918.07,982.08,1085.16,1125.82,913.08,937.23,1139.77,916.92,974.18,1079.97,951.75,825.38,950.88,916.61,1131.84,927.08,1007.36,1174.98,919.75,974.35,817.42,1031.69,881.98,1071.61,998.92,1131.28,911.21,1025.6,985.74,842.85,1143.19,1129.42,870.68,1044.74,953.53,1038.09,1037.17,1143.78,932.46,955.61,1145.96,865.29,1110.23,1075.47,1124.85,861.71,945.47,1156.23,939.55,948.78,1074.52,1046.05,965.76,1014.05
785.72,1077.14,1140.46,1020.85,1130.3,987.64,1104.06,927.04,1140.36,911.19,1172.47,901.12,972.22,878.4,980.71,1052.47,1173.18,1113.29,938.13,1036.16,960.84,1172.66,906.15,1145.72,1024.62,1027.13,956.28,930.14,914.95,985.59,1015.94,920.04,962.88,918.1,982.17,1085.16,1125.82,913.12,937.24,1139.74,916.98,974.2,1079.98,951.77,825.37,950.92,916.6,1131.89,926.98,1007.3,1174.97,919.75,974.42,817.33,1031.75,881.99,1071.61,998.85,1131.3,911.24,1025.43,985.67,842.86,1143.16,1129.39,870.69,1044.73,953.52,1038.07,1037.16,1143.81,932.36,955.64,1145.99,865.3,1110.24,1075.45,1124.88,861.72,945.51,1156.26,939.55,948.79,1074.55,1046.06,965.71,1014.06
785.75,1077.1,1140.49,1020.85,1130.3,987.67,1104.08,927.02,1140.38,911.14,1172.48,901.18,972.29,878.37,980.67,1052.42,1173.18,1113.29,938.12,1036.24,960.8,1172.65,906.22,1145.73,1024.64,1027.13,956.28,930.21,914.94,985.6,1015.98,920.05,962.91,918.07,982.16,1085.19,1125.8,913.08,937.24,1139.74,917.03,974.25,1079.96,951.74,825.34,950.97,916.6,1131.9,926.85,1007.24,1174.99,919.73,974.52,817.22,1031.81,881.99,1071.6,998.83,1131.3,911.19,1025.27,985.58,842.94,1143.17,1129.38,870.71,1044.73,953.49,1038.06,1037.16,1143.8,932.22,955.65,1145.97,865.28,1110.24,1075.46,1124.93,861.71,945.55,1156.27,939.57,948.8,1074.55,1046.02,965.67,1014.06
785.85,1077.09,1140.49,1020.87,1130.32,987.79,1104.1,926.96,1140.39,911.16,1172.47,901.22,972.38,878.36,980.65,1052.39,1173.2,1113.28,938.09,1036.26,960.8,1172.7,906.23,1145.71,1024.66,1027.14,956.27,930.22,914.95,985.61,1016.04,920.05,963.01,918.07,982.24,1085.17,1125.82,913.06,937.26,1139.76,917.07,974.28,1079.98,951.74,825.34,951.04,916.59,1131.88,926.73,1007.25,1175.04,919.68,974.58,817.08,1031.84,881.99,1071.61,998.8,1131.29,911.22,1025.11,985.55,842.95,1143.15,1129.36,870.72,1044.76,953.49,1038.04,1037.19,1143.79,932.13,955.68,1145.95,865.25,1110.24,1075.4,1124.95,861.71,945.61,1156.27,939.54,948.87,1074.55,1046.06,965.64,1014.08
785.88,1077.02,1140.48,1020.84,1130.34,987.79,1104.12,926.94,1140.4,911.16,1172.51,901.23,972.4,878.35,980.64,1052.37,1173.21,1113.29,938.09,1036.26,960.8,1172.67,906.26,1145.7,1024.65,1027.15,956.26,930.29,914.97,985.61,1016.06,920.06,963.04,918.05,982.25,1085.18,1125.84,913.1,937.28,1139.74,917.09,974.31,1080.02,951.8,825.31,951.07,916.57,1131.88,926.64,1007.22,1175.05,919.68,974.63,816.96,1031.84,882.02,1071.65,998.78,1131.29,911.22,1024.94,985.5,843.01,1143.17,1129.35,870.73,1044.74,953.57,1037.98,1037.19,1143.79,932.06,955.67,1145.99,865.24,1110.25,1075.32,1124.93,861.7,945.64,1156.22,939.54,948.87,1074.55,1046.02,965.6,1014.1
785.96,1076.97,1140.51,1020.83,1130.36,987.86,1104.14,926.88,1140.41,911.16,1172.54,901.3,972.47,878.35,980.64,1052.33,1173.18,1113.26,938.11,1036.28,960.82,1172.67,906.3,1145.7,1024.71,1027.14,956.25,930.34,915.04,985.59,1016.1,920.04,963.25,918.06,982.26,1085.19,1125.86,913.09,937.24,1139.7,917.11,974.32,1080.02,951.8,825.29,951.1,916.6,1131.93,926.51,1007.16,1175.07,919.66,974.73,816.88,1031.84,882.01,1071.66,998.74,1131.26,911.26,1024.76,985.44,843.02,1143.16,1129.33,870.76,1044.73,953.52,1037.99,1037.19,1143.78,931.86,955.67,1145.92,865.25,1110.24,1075.35,1124.95,861.7,945.71,1156.24,939.55,948.86,1074.55,1045.99,965.56,1014.08
